codeCI,codeCH,libelleCI,XLambert93,YLambert93
476440	,	BV	,	St-Pierre-Quiberon	,"	238505,054	","	6731345,722"
182006	,	PE	,	Mulhouse-Nord	,"	1026768,255	","	6749125,915"
576868	,	IM	,	Selles-sur-Cher	,"	589892,754	","	6687891,969"
641795	,	00	,	Lignerolles (Allier)	,"	667317,474	","	6575460,702"
172338	,	2B	,	Pouru-Brévilly	,"	848858,64	","	6954557,356"
276899	,	EP	,	Vic-sur-Aisne	,"	708261,724	","	6921899,524"
276022	,	00	,	Enghien-les-Bains	,"	649226,475	","	6875033,13"
223263	,	VR	,	Lille-Europe	,"	705606,77	","	7059757,787"
584755	,	00	,	La Gorp	,"	424227,687	","	6431611,483"
713412	,	RF	,	Dole-Ville	,"	888213,707	","	6669434,828"
726794	,	00	,	Beauzac	,"	785908,697	","	6460213,722"
481002	,	SE	,	Nantes	,"	357017,361	","	6689072,468"
118000	,	PU	,	Troyes	,"	780658,27	","	6797796,69"
118000	,	BB	,	Troyes	,"	776536,364	","	6803898,425"
171009	,	S8	,	Reims	,"	774983,158	","	6910893,223"
171009	,	BV	,	Reims	,"	774556,535	","	6907084,862"
171009	,	C2	,	Reims	,"	775152,646	","	6909951,457"
411447	,	98	,	Longuerue-Vieux-Manoir	,"	574199,235	","	6939265,669"
116293	,	SM	,	Vaires-Torcy	,"	958627,672	","	6837754,106"
116293	,	FV	,	Vaires-Torcy	,"	672703,738	","	6863935,492"
673673	,	00	,	Louhossoa	,"	346025,719	","	6254949,046"
271312	,	DT	,	Le Bourget-Triage	,"	658740,924	","	6870424,996"
271312	,	GP	,	Le Bourget-Triage	,"	662478,667	","	6870370,56"
271312	,	BM	,	Le Bourget-Triage	,"	656960,196	","	6869996,948"
313189	,	RF	,	Doullens	,"	652847,588	","	7007102,926"
592006	,	BV	,	Limoges-Bénédictins	,"	565871,682	","	6528160,496"
592006	,	94	,	Limoges-Bénédictins	,"	566402,078	","	6528576,144"
592006	,	PK	,	Limoges-Bénédictins	,"	564839,138	","	6526514,827"
681809	,	11	,	Villeneuve-St-Georges-Triage	,"	659017,495	","	6849083,387"
681809	,	AT	,	Villeneuve-St-Georges-Triage	,"	658842,003	","	6849325,331"
586149	,	PA	,	Colayrac	,"	503910,104	","	6350993,796"
611020	,	BF	,	Empalot	,"	572947,881	","	6275757,542"
486126	,	46	,	L'Herbergement-Les Brouzils	,"	368765,047	","	6656275,776"
486126	,	C5	,	L'Herbergement-Les Brouzils	,"	367072,265	","	6653868,912"
394296	,	BV	,	Nogent-le-Rotrou	,"	537658,347	","	6804983,087"
141085	,	PC	,	Champigneulles	,"	932733,538	","	6853324,542"
694497	,	EP	,	Liernais	,"	796007,408	","	6679214,392"
694497	,	BV	,	Liernais	,"	795905,127	","	6680033,586"
444000	,	BS	,	Caen	,"	465193,681	","	6896339,251"
753004	,	SC	,	Miramas	,"	859039,142	","	6277884,709"
753004	,	FD	,	Miramas	,"	860668,715	","	6277754,401"
753004	,	AR	,	Miramas	,"	867399,615	","	6272138,146"
444265	,	CI	,	Lisieux	,"	524700,72	","	6890163,289"
444265	,	JS	,	Lisieux	,"	498643,991	","	6896150,279"
444265	,	S3	,	Lisieux	,"	496214,523	","	6912963,716"
444265	,	EB	,	Lisieux	,"	524768,545	","	6890184,244"
723320	,	BV	,	Vénissieux-Voyageurs	,"	846957,671	","	6513450,835"
723320	,	DP	,	Vénissieux-Voyageurs	,"	843791,202	","	6515367,533"
753459	,	TI	,	Port-de-Bouc	,"	860201,546	","	6258870,642"
772343	,	00	,	Poste 14 Vaumort	,"	733453,311	","	6779608,793"
611095	,	BF	,	Boussens	,"	534377,003	","	6231045,641"
728006	,	7P	,	Lyon-Guillotière	,"	843791,417	","	6515035,685"
728006	,	KM	,	Lyon-Guillotière	,"	843739,778	","	6516041,15"
728006	,	SP	,	Lyon-Guillotière	,"	842865,881	","	6517869,822"
728006	,	74	,	Lyon-Guillotière	,"	843430,881	","	6517728,145"
726133	,	FT	,	St-Étienne-Pont-de-l'Âne	,"	813157,053	","	6482767,925"
345520	,	P1	,	Cambrai Ville	,"	718607,381	","	7007667,044"
174250	,	00	,	Loisy-sur-Marne	,"	813231,854	","	6852107,683"
713198	,	SS	,	Tonnerre	,"	775528,373	","	6750884,516"
860833	,	CH	,	Calvi	,"	1173735,325	","	6179115,044"
140277	,	00	,	ITE Rhône-Poulenc	,"	844123,359	","	6512110,859"
387001	,	RF	,	Évreux-Embranchement	,"	565057,623	","	6881526,577"
387001	,	JS	,	Évreux-Embranchement	,"	564117,447	","	6881277,98"
215087	,	BF	,	Brouviller-Lixheim	,"	1004958,051	","	6859887,984"
543165	,	S2	,	Salbris	,"	628014,395	","	6704472,291"
281071	,	AS	,	Calais-Fréthun	,"	616314,885	","	7088496,85"
281071	,	03	,	Calais-Fréthun	,"	616314,885	","	7088496,85"
281071	,	LO	,	Calais-Fréthun	,"	618795,525	","	7093636,74"
281071	,	BF	,	Calais-Fréthun	,"	616741,103	","	7088680,602"
281071	,	P1	,	Calais-Fréthun	,"	618497,545	","	7093341,381"
281071	,	AN	,	Calais-Fréthun	,"	616098,884	","	7091063,92"
713115	,	BN	,	Les Laumes-Alésia	,"	809593,675	","	6716987,835"
713115	,	NO	,	Les Laumes-Alésia	,"	809515,212	","	6717025,578"
571687	,	BP	,	Chinon	,"	491312,148	","	6676657,967"
592451	,	00	,	Vaulry	,"	553736,58	","	6548975,496"
594002	,	PA	,	Brive-la-Gaillarde	,"	583101,704	","	6451257,62"
751081	,	PR	,	Marseille-Blancarde	,"	895210,186	","	6247523,322"
281659	,	XB	,	Bray-Dunes	,"	668759,744	","	7109032,635"
487009	,	A2	,	Thouars	,"	454087,717	","	6657041,341"
487009	,	P1	,	Thouars	,"	456968,139	","	6659513,966"
487009	,	PA	,	Thouars	,"	457326,093	","	6658543,276"
386417	,	SP	,	Sartrouville	,"	637988,157	","	6871423,312"
386417	,	BN	,	Sartrouville	,"	641790,39	","	6866948,537"
574772	,	00	,	Troo	,"	535602,253	","	6744083,447"
141135	,	1B	,	Blainville-Damelevières	,"	949086,571	","	6835612,316"
141812	,	BV	,	Dieulouard	,"	925368,873	","	6864804,025"
141812	,	CS	,	Dieulouard	,"	925736,829	","	6863920,695"
775536	,	BV	,	St-Ambroix	,"	795331,722	","	6351904,277"
184002	,	RS	,	Belfort	,"	989123,73	","	6731244,12"
571240	,	11	,	St-Pierre-des-Corps	,"	522201,073	","	6700231,136"
571240	,	12	,	St-Pierre-des-Corps	,"	524098,25	","	6700152,212"
342048	,	00	,	Achiet	,"	684297,753	","	7003789,695"
586107	,	BV	,	Port-Ste-Marie	,"	491534,722	","	6353607,301"
281873	,	BV	,	Magenta	,"	652943,34	","	6864670,966"
174441	,	E4	,	St-Hilaire-au-Temple	,"	798689,468	","	6882764,421"
413377	,	BV	,	Foucart-Alvimare	,"	526262,178	","	6948100,204"
584052	,	RF	,	Libourne	,"	444761,196	","	6429592,924"
584052	,	V6	,	Libourne	,"	444952,564	","	6430643,789"
345314	,	AI	,	Somain	,"	718726,138	","	7028645,538"
345314	,	P2	,	Somain	,"	719856,388	","	7028672,137"
286419	,	00	,	Wavrin	,"	695431,564	","	7053000,075"
575076	,	AN	,	Port-de-Piles	,"	517598,626	","	6659475,095"
756007	,	BV	,	Nice-St-Roch	,"	1045461,791	","	6300150,609"
113100	,	DP	,	Paris-La Villette	,"	653611,714	","	6865926,12"
113100	,	12	,	Paris-La Villette	,"	653420,184	","	6865455,451"
411470	,	AO	,	Serqueux	,"	594282,573	","	6948621,503"
382218	,	BD	,	La Défense	,"	644401,241	","	6866412,998"
382218	,	G2	,	La Défense	,"	644590,306	","	6866542,262"
592022	,	00	,	Limoges-Montjovis	,"	564299,742	","	6528034,705"
113159	,	GG	,	Paris-Garage-de-l'Ourcq	,"	658171,273	","	6866701,008"
478404	,	MA	,	Laval	,"	414323,397	","	6783010,905"
478404	,	BV	,	Laval	,"	419884,285	","	6781790,332"
478404	,	BI	,	Laval	,"	532347,33	","	6821597,468"
478404	,	BM	,	Laval	,"	415649,179	","	6782514,074"
784488	,	BS	,	Cases-de-Pène	,"	683051,083	","	6186628,236"
116541	,	BV	,	Sézanne	,"	716845,789	","	6847860,342"
212241	,	BF	,	Graffenstaden	,"	1046497,464	","	6838192,151"
543835	,	EC	,	Beaune-la-Rolande	,"	656414,9	","	6775465,046"
543835	,	00	,	Beaune-la-Rolande	,"	656780,82	","	6774917,21"
492348	,	BI	,	Poste 21 d Orly	,"	657291,062	","	6849992,279"
574368	,	BV	,	Noizay	,"	541387,192	","	6703155,656"
761007	,	ES	,	Valence	,"	849055,643	","	6425789,681"
761007	,	BV	,	Valence	,"	849379,382	","	6427204,263"
184523	,	EV	,		,"	985882,313	","	6719925,36"
184523	,	FP	,		,"	985880,118	","	6719922,451"
586164	,	RF	,	Bon-Encontre	,"	513005,008	","	6344499,768"
296426	,	EC	,	Fargniers-Garage	,"	724333,974	","	6950877,816"
296426	,	EA	,	Fargniers-Garage	,"	723513,415	","	6950709,43"
682138	,	00	,	Boussy-St-Antoine	,"	665481,051	","	6842501,786"
278242	,	PN	,	La Glacière-Gentilly	,"	654972,929	","	6858830,176"
386003	,	98	,	La Garenne-Colombes	,"	641814,995	","	6868101,181"
281428	,	00	,	Audruicq	,"	634966,149	","	7086940,618"
575266	,	11	,	St-Benoît (Vienne)	,"	495170,999	","	6607742,805"
472605	,	00	,	Thann-Centre	,"	1006813,255	","	6753481,606"
271338	,	25	,	Bobigny	,"	657643,105	","	6870324,049"
271338	,	ST	,	Bobigny	,"	654603,385	","	6873407,07"
271338	,	84	,	Bobigny	,"	654724,995	","	6873371,323"
271338	,	DT	,	Bobigny	,"	657931,307	","	6869494,016"
473009	,	EP	,	St-Brieuc	,"	271462,579	","	6834515,715"
